headlines,terms,dates,scores
this week in healthcare: 20-24 august,healthcare,2012-08-24,2
ethical living: what was the environmental cost of the olympics?,cost,2012-08-25,2
chelsea v newcastle united – as it happened,coverage,2012-08-25,2
obama defends medicare from romney-ryan budget proposals,medicare,2012-08-25,2
danny cohen: 'bbc's jubilee flotilla coverage was not a disaster' - video,coverage,2012-08-25,1
average cost of buying home falls to lowest in 15 years,coverage,2012-08-26,1
average cost of buying home falls to lowest in 15 years,cost,2012-08-26,1
"drop the word 'disabled' from games coverage, demands paralympics committee president",coverage,2012-08-26,2
mitt romney defends massachusetts healthcare record in attack on obama,healthcare,2012-08-26,2
the cost of living timebomb that's ticking for us all,cost,2012-08-26,2
nhs franchising: the toxic world of globalised healthcare is upon us,healthcare,2012-08-27,2
counting the cost of being poorly,cost,2012-08-27,1
"roadside cameras suffer from large gaps in coverage, police admit",coverage,2012-08-27,2
mitt romney flip-flops on healthcare to woo back women,healthcare,2012-08-28,1
students: would you pay to pick up a prescription?,prescription,2012-08-28,2
people with learning disabilities need better healthcare,healthcare,2012-08-29,2
paralympics coverage – tv review,coverage,2012-08-30,2
election 2012 and the media: a vast rightwing conspiracy of stupid,medicare,2012-08-30,1
election 2012 and the media: a vast rightwing conspiracy of stupid,medicaid,2012-08-30,1
lack of affordable homes delays parenthood,affordable,2012-08-31,1
"us paralympics tv coverage disappointing, says chef de mission",coverage,2012-08-31,1
immigrants in spain to lose right to public healthcare,healthcare,2012-08-31,2
"robin roberts, be well. american healthcare, be better",healthcare,2012-08-31,3
paralympics organisers criticise lack of us media coverage,coverage,2012-08-31,1
this week in healthcare: 27-31 august,healthcare,2012-08-31,2
soaring childcare costs see parents working for nothing,cost,2012-09-01,2
west ham united v fulham – as it happened,coverage,2012-09-01,2
eastern congo's poor left counting the cost of conflict-free gadgets,cost,2012-09-03,1
channel 4's paralympics coverage boosted by pistorius controversy,coverage,2012-09-03,2
is the future of healthcare co-operative?,healthcare,2012-09-03,2
circle: a low-cost model for 21st-century adult social care?,cost,2012-09-04,1
circle: a low-cost model for 21st-century adult social care?,healthcare,2012-09-04,1
circle: a low-cost model for 21st-century adult social care?,medicare,2012-09-04,1
public cost of leveson inquiry at £3.9m,cost,2012-09-05,2
the scandal of seriously ill prisoners denied basic healthcare,healthcare,2012-09-05,2
guardian sport: how to get involved with our coverage,coverage,2012-09-05,2
julian castro: meet the democrats' rising star,preexisting,2012-09-05,2
mother stacey lihn praises obamacare for saving her daughter's life,aca,2012-09-05,2
'what is the cost of …' and other questions,cost,2012-09-07,2
london royal plus life insurance policy is good money after bad,insurance,2012-09-07,3
the snp says it would kick trident out of scotland. but at what cost?,cost,2012-09-07,1
an insurance policy for every occasion … almost,insurance,2012-09-07,2
broadcast news is losing its balance in the post-truth era,coverage,2012-09-08,1
england v south africa – first t20 as it happened,coverage,2012-09-08,2
london restaurant boom sparked by affordable menus,affordable,2012-09-09,2
paralympics coverage reconnects channel 4 with its quirky past,coverage,2012-09-09,2
community healthcare is no panacea,healthcare,2012-09-09,2
romney says obama's healthcare reform has 'a number of things i like',healthcare,2012-09-09,2
new york officials locked in row over 9/11 museum costs and control,cost,2012-09-10,2
barack obama tells florida voters he will 'never turn medicare into a voucher' - video,medicare,2012-09-10,2
cost-cutting housing providers in a race to the bottom,cost,2012-09-10,2
world cup 2014 qualifiers: england v ukraine - in pictures,coverage,2012-09-11,2
iphone 5: some affordable alternatives,affordable,2012-09-11,2
the cost of contraception is dwarfed by that of unplanned pregnancy,cost,2012-09-11,2
england v south africa – as it happened,coverage,2012-09-12,2
james murray: 'we don't need supply at any cost',cost,2012-09-12,2
healthcare network members survey: what you think about your job,healthcare,2012-09-12,2
healthcare network members survey: what you say on nhs reforms,healthcare,2012-09-12,2
healthcare network member survey results: infographic,healthcare,2012-09-12,2
funeral costs up 71% since 2004,cost,2012-09-13,2
saga car insurance quote error led to policy change,healthcare,2012-09-14,3
saga car insurance quote error led to policy change,medicare,2012-09-14,3
saga car insurance quote error led to policy change,insurance,2012-09-14,3
rbs unveils direct line insurance ipo,insurance,2012-09-14,3
how insurance companies defraud us,insurance,2012-09-14,2
zambia's healthcare system in need of an mot as road accidents increase,healthcare,2012-09-14,2
rob delaney: 'twitter has rocketed me to a whole new level of standup',pocket,2012-09-17,2
what can england learn from scotland on integrating health and social care?,healthcare,2012-09-17,2
what can england learn from scotland on integrating health and social care?,healthcare,2012-09-17,2
what can england learn from scotland on integrating health and social care?,medicare,2012-09-17,2
jake humphrey leaves bbc to front bt vision's premier league coverage,coverage,2012-09-18,2
bbc director general calls for more women's sport coverage,coverage,2012-09-18,2
london housing crisis: the market is distorted but does boris care?,healthcare,2012-09-18,2
london housing crisis: the market is distorted but does boris care?,medicare,2012-09-18,2
what next for the affordable homes programme?,affordable,2012-09-18,2
bangladesh's urbanisation creating a healthcare black hole,healthcare,2012-09-18,1
police shootings: media warned over coverage after arrest of dale cregan,coverage,2012-09-19,2
a crash course in car insurance policies and premiums,healthcare,2012-09-21,2
a crash course in car insurance policies and premiums,medicare,2012-09-21,2
a crash course in car insurance policies and premiums,insurance,2012-09-21,2
tesco home insurance laid bare after cracks inspection,insurance,2012-09-21,2
the countryside alliance cares for liberty but not livelihoods,healthcare,2012-09-21,1
the countryside alliance cares for liberty but not livelihoods,medicare,2012-09-21,1
universal chief: emi sell-offs won't halt £100m cost savings,cost,2012-09-21,2
why does bradford care so much about a derelict cinema?,healthcare,2012-09-21,2
why does bradford care so much about a derelict cinema?,medicare,2012-09-21,2
keith vaz: g4s should pay cost of london 2012 olympics failings - video,cost,2012-09-21,1
halifax plays waiting game over buildings insurance while flat cracks up,insurance,2012-09-22,2
why scrutiny committees let councils take the reins over local healthcare,healthcare,2012-09-24,1
houston texans 31 denver broncos 25 - as it happened,cost,2012-09-24,2
theatre tickets: who can afford them?,affordable,2012-09-25,2
new guidance sets out public health recommendations for councils,healthcare,2012-09-25,2
"2012 us campaigns have cost more than $4bn, election commission says",cost,2012-09-26,2
manchester united v newcastle united – as it happened,coverage,2012-09-26,2
"liberal democrat conference: numbers shrink, cost doesn't",cost,2012-09-26,2
flood waters raise fears over home insurance,insurance,2012-09-26,3
what makes a good female healthcare leader?,healthcare,2012-09-26,2
nbc blames 'sponsor fatigue' for limited paralympics coverage,coverage,2012-09-28,2
car insurance industry to face competition commission investigation,healthcare,2012-09-28,2
car insurance industry to face competition commission investigation,medicare,2012-09-28,2
car insurance industry to face competition commission investigation,insurance,2012-09-28,2
"ed balls pledges extra £3bn to build 100,000 affordable homes from 4g sale",medicare,2012-09-30,2
"ed balls pledges extra £3bn to build 100,000 affordable homes from 4g sale",medicaid,2012-09-30,2
"ed balls pledges extra £3bn to build 100,000 affordable homes from 4g sale",affordable,2012-09-30,2
"ed miliband has got answers, so stop asking the wrong questions",medicare,2012-09-30,1
"ed miliband has got answers, so stop asking the wrong questions",medicaid,2012-09-30,1
the readers' editor on… claims of excessive coverage of apple and its products,coverage,2012-09-30,2
glencore accused of slashing tax bill by using complex insurance deals,insurance,2012-09-30,2
labour conference: what must ed miliband do to win power?,medicare,2012-10-01,2
labour conference: what must ed miliband do to win power?,medicaid,2012-10-01,2
the guardian partners with tumblr for live coverage of debate night in gifs,coverage,2012-10-01,2
from user fees to universal healthcare - a 30-year journey,healthcare,2012-10-01,1
was the bbc's coverage of the nhs bill biased and distorted?,coverage,2012-10-01,2
ed balls conjures up spirit of 1945 with pledge to rebuild uk infrastructure,medicare,2012-10-01,2
ed balls conjures up spirit of 1945 with pledge to rebuild uk infrastructure,medicaid,2012-10-01,2
50 months: 'our lifestyles in rich countries come at a cost for others',cost,2012-10-01,2
ed miliband must move further and faster from new labour,medicare,2012-10-02,2
ed miliband must move further and faster from new labour,medicaid,2012-10-02,2
poetry prescriptions: verse to cure all ills,prescription,2012-10-02,2
balanced coverage or western bias against chávez in venezuela?,coverage,2012-10-03,1
'obamacare means my child has health insurance' – video,aca,2012-10-03,2
'obamacare means my child has health insurance' – video,healthcare,2012-10-03,2
'obamacare means my child has health insurance' – video,insurance,2012-10-03,2
ed balls: action man – in pictures,medicare,2012-10-03,3
ed balls: action man – in pictures,medicaid,2012-10-03,3
wheels have come off uk car insurance,healthcare,2012-10-05,2
wheels have come off uk car insurance,medicare,2012-10-05,2
wheels have come off uk car insurance,insurance,2012-10-05,2
barclaycard theft leaves reader counting the cost of being pickpocketed,cost,2012-10-05,2
barclaycard theft leaves reader counting the cost of being pickpocketed,pocket,2012-10-05,2
car insurance: why women face £300 rise in premiums,healthcare,2012-10-05,2
car insurance: why women face £300 rise in premiums,medicare,2012-10-05,2
car insurance: why women face £300 rise in premiums,insurance,2012-10-05,2
my son was penalised over lv= car insurance premium,healthcare,2012-10-05,2
my son was penalised over lv= car insurance premium,medicare,2012-10-05,2
my son was penalised over lv= car insurance premium,insurance,2012-10-05,2
terrible human cost of benefit cuts,cost,2012-10-05,1
"colorado latinos come of age: 'finally, we're getting our voices heard'",coverage,2012-10-05,2
private health screening tests are oversold and under-explained,healthcare,2012-10-05,2
"ppi 'win' cost me £1,090 in interest on my credit card",cost,2012-10-06,2
medical marijuana advocates hope lawsuit relaxes us drugs policy,medicare,2012-10-07,3
medical marijuana advocates hope lawsuit relaxes us drugs policy,medicaid,2012-10-07,3
rising cost of premier league tv rights 'could have knock-on effect',preexisting,2012-10-10,3
rising cost of premier league tv rights 'could have knock-on effect',cost,2012-10-10,3
there's a data socket in your pocket,pocket,2012-10-10,2
there's a data socket in your pocket,pocket,2012-10-10,2
"bbc's coverage of religion, immigration and europe to be scrutinised in review",coverage,2012-10-10,2
do it yourself: could self-build affordable housing solve the crisis?,affordable,2012-10-10,1
"cost of saving endangered species £50bn a year, say experts",cost,2012-10-11,2
owen paterson: true blue countryman putting wind up green campaigners,affordable,2012-10-11,2
managing partnerships in healthcare: live discussion,healthcare,2012-10-11,2
kindle under fire from low-cost 'txtr beagle' e-reader,cost,2012-10-11,1
st george's must slay the long-ball monster in order to free england,preexisting,2012-10-12,1
st george's must slay the long-ball monster in order to free england,cost,2012-10-12,1
"a day in the life of … ian gillespie, chief executive, vanguard healthcare",healthcare,2012-10-12,2
points record is licence for car insurance firms to raise premiums,healthcare,2012-10-13,2
points record is licence for car insurance firms to raise premiums,medicare,2012-10-13,2
points record is licence for car insurance firms to raise premiums,insurance,2012-10-13,2
"housing costs force 1.6m adults to live with parents, says charity",cost,2012-10-13,2
obamacare gets my vote: romney and ryan's alternative nearly killed me,aca,2012-10-13,3
"various items: free speech v 'community', lawlessness in libya, sprawling surveillance state",coverage,2012-10-14,2
andy murray v novak djokovic – as it happened,coverage,2012-10-14,2
scaling up healthy living behaviour change - discussion highlights,healthcare,2012-10-15,2
taliban threaten journalists over malala yousafzai coverage,coverage,2012-10-15,1
frieze 2012 and the contemporary art fair: a good or bad thing for artists?,preexisting,2012-10-15,1
romney and obama need to show they care for america's caregivers,healthcare,2012-10-16,2
romney and obama need to show they care for america's caregivers,medicare,2012-10-16,2
felix baumgartner completes world's highest skydive – coverage highlights,coverage,2012-10-16,2
today in healthcare: wednesday 17 october,healthcare,2012-10-17,2
blog jam: a pocket full of seeds,pocket,2012-10-17,2
david cameron and ed miliband at pmqs: politics live blog,medicare,2012-10-17,2
david cameron and ed miliband at pmqs: politics live blog,medicaid,2012-10-17,2
prison deaths rising as cutbacks take effect,preexisting,2012-10-17,2
today in healthcare: thursday 18 october,healthcare,2012-10-18,2
labour wants to see lower cost and more transparent pension schemes,cost,2012-10-18,2
cost of badger cull may force u-turn,cost,2012-10-18,2
sun hits back at gordon brown war coverage claims,coverage,2012-10-18,2
apple v android: the winner is… the disabled community,coverage,2012-10-18,3
today in healthcare: friday 19 october,healthcare,2012-10-19,2
maps through the ages – in pictures,coverage,2012-10-19,2
what does the us presidential election mean for young people's sexual health?,healthcare,2012-10-19,2
"travel tips: wild skating in sweden, book a christmas cottage and the week's best deals",preexisting,2012-10-20,3
parked and taken for a ride over dodgy whiplash insurance claim,insurance,2012-10-20,2
cracks appear in insurance policy after direct line 'training issue',insurance,2012-10-20,2
san francisco giants 6 - st louis cardinals 1 - as it happened,preexisting,2012-10-21,3
san francisco giants 6 - st louis cardinals 1 - as it happened,cost,2012-10-21,3
the bbc ends coverage of horse racing with hardly a backward glance,coverage,2012-10-21,1
the x factor live blog - third results show,preexisting,2012-10-21,2
shadow! by robie h harris - review,healthcare,2012-10-21,2
today in healthcare: monday 22 october,healthcare,2012-10-22,2
managing partnerships in healthcare: live discussion roundup,healthcare,2012-10-22,2
people with learning disabilities should be able to stay in their communities,affordable,2012-10-22,3
ipad mini launch: live coverage of the apple event in san jose,coverage,2012-10-23,2
"london 2012 olympics will cost a total of £8.921bn, says minister",cost,2012-10-23,2
medical marijuana: disabled veteran's appeal could change us drugs policy,medicare,2012-10-23,2
medical marijuana: disabled veteran's appeal could change us drugs policy,medicaid,2012-10-23,2
today in healthcare from the foundation trust network annual conference,healthcare,2012-10-23,2
l'aquila quake scientists: creating scapegoats will cost even more lives,cost,2012-10-23,2
asking voters to provide their national insurance number threatens democracy,insurance,2012-10-24,2
today in healthcare: day two from the foundation trust network annual conference,healthcare,2012-10-24,2
guardian news & media launches consultation over cost-cutting measures,cost,2012-10-24,2
looked-after children: care should be in the community,healthcare,2012-10-24,3
looked-after children: care should be in the community,medicare,2012-10-24,3
bbc joins sky in row with indian board over england test coverage,coverage,2012-10-25,2
today in healthcare: thursday 25 october,healthcare,2012-10-25,2
school uniform supplier restrictions 'leaving parents out of pocket',pocket,2012-10-25,2
microsoft windows 8 launch and surface event – as it happened,insurance,2012-10-25,2
good news for the uk economy – but how do we carve the national cake?,healthcare,2012-10-25,3
good news for the uk economy – but how do we carve the national cake?,medicare,2012-10-25,3
david attenborough: us politicians duck climate change because of cost,cost,2012-10-25,3
"gangnam style, the ai weiwei way",medicaid,2012-10-25,2
the real cost of german labour reforms,cost,2012-10-26,2
today in healthcare: friday 26 october,healthcare,2012-10-26,2
insurance firm igo4 leaves me at a dead end,insurance,2012-10-27,2
soaring cost of childcare 'stops parents seeking work',cost,2012-10-27,2
childcare: how the cost of bringing up baby is bankrupting middle britain,cost,2012-10-27,2
everton v liverpool - as it happened!,coverage,2012-10-28,2
caribbean nations count cost of hurricane sandy,cost,2012-10-29,2
today in healthcare: monday 29 october,healthcare,2012-10-29,2
sandy aftermath: atlantic city counts the cost,cost,2012-10-30,2
mrs cameron's diary: careless texts cost whatevers,cost,2012-10-30,1
superstorm sandy could cost $45bn in damage and lost production,cost,2012-10-30,1
superstorm sandy: millions in us count cost of 'major disaster',cost,2012-10-30,1
new scotland yard faces sell-off as met floats cost-cutting plans,cost,2012-10-30,1
today in healthcare: tuesday 30 october,healthcare,2012-10-30,2
hurricane sandy is a reminder of why medicaid is so important,medicaid,2012-10-31,3
today in healthcare: wednesday 31 october,healthcare,2012-10-31,2
kenny dalglish denies luis suárez racism row cost him liverpool job,cost,2012-11-01,1
today in healthcare: thursday 1 november,healthcare,2012-11-01,2
working lives: managing housing on the island of st helena,preexisting,2012-11-01,2
working lives: managing housing on the island of st helena,cost,2012-11-01,2
bbc resolves row with indian cricket authorities over england coverage,coverage,2012-11-01,2
"child benefit cut 'could cost some families £50,000'",cost,2012-11-01,2
welfare cuts will lead to shortfall in affordable homes,affordable,2012-11-01,2
travel insurance: when you policy will – and won't – pay out,insurance,2012-11-02,2
why i'll never get travel insurance,insurance,2012-11-02,2
hurricane sandy begs the question: what is travel insurance good for?,insurance,2012-11-02,2
"your views on the news: ash dieback, 4g mobile and affordable homes",affordable,2012-11-02,2
today in healthcare: friday 2 november,healthcare,2012-11-02,2
iskandar malaysia - the green mega-city rising above singapore,preexisting,2012-11-02,3
british climbers relive ordeal of 'last great climb' in himalayas,affordable,2012-11-03,3
go compare founder could net £100m if insurance site goes for a song,insurance,2012-11-04,2
bankers must be made to bear the cost of their reckless risk-taking,cost,2012-11-04,2
"men risk health by failing to seek nhs help, survey finds",healthcare,2012-11-04,2
today in healthcare: monday 5 november,healthcare,2012-11-05,2
manchester city v ajax - as it happened,coverage,2012-11-06,2
today in healthcare: tuesday 6 november,healthcare,2012-11-06,2
x factor ratings slump could cost itv £10m in ad revenue,preexisting,2012-11-06,1
x factor ratings slump could cost itv £10m in ad revenue,cost,2012-11-06,1
