headlines,terms,dates,scores
new rules to 'protect' women researchers abroad are sexist and dangerous,preexisting,2016-08-19,1
blocking the sale of ausgrid was a poor decision and will cost australia dear,cost,2016-08-19,1
"rising inequality in australia could cost 3% of gdp, study finds",preexisting,2016-08-21,3
"rising inequality in australia could cost 3% of gdp, study finds",cost,2016-08-21,3
liberian nurses learn to spot danger signs in babies as healthcare gets shot in arm,healthcare,2016-08-22,2
"iraqi children pay high health cost of war-induced air pollution, study finds",healthcare,2016-08-22,1
"iraqi children pay high health cost of war-induced air pollution, study finds",cost,2016-08-22,1
london housing: tfl land set for affordable homes as sadiq khan picks expert team,affordable,2016-08-23,3
transgender health discrimination ban faces legal challenge from five states,healthcare,2016-08-23,2
"australia broadly tolerant but pockets of intense prejudice remain, report shows",pocket,2016-08-23,1
"sports betting cost australians $815m in 2014-15, up 30% on previous year",cost,2016-08-23,2
mylan to provide epipen cost assistance as ceo is asked to testify on price hike,cost,2016-08-25,2
orlando shooting survivors won't have to pay for medical care,medicare,2016-08-25,1
orlando shooting survivors won't have to pay for medical care,medicaid,2016-08-25,1
orlando shooting survivors won't have to pay for medical care,healthcare,2016-08-25,1
orlando shooting survivors won't have to pay for medical care,medicare,2016-08-25,1
businesses count the cost of southern rail disruption,cost,2016-08-25,2
former minister calls for new tax to save nhs and social care,healthcare,2016-08-27,2
former minister calls for new tax to save nhs and social care,medicare,2016-08-27,2
how parents can reduce the cost of school uniforms,cost,2016-08-27,2
"ian traynor, europe editor of the guardian, dies aged 60",coverage,2016-08-28,2
'it was a conspiracy': recovering addicts wage legal battle over prescription use,prescription,2016-08-28,1
cell review – smartphone thriller with patchy coverage,coverage,2016-08-28,2
the last affordable neighborhoods in manhattan: 'the air is fresher up here',affordable,2016-08-29,2
theresa may urged to reshape welfare with 'social insurance',insurance,2016-08-29,2
"london olympics has brought regeneration, but at a price locals can’t afford",affordable,2016-08-30,3
unpaid eu back taxes cost apple billions,cost,2016-08-30,2
"soon the wealthy will wipe clean every fun, tatty area – and not just in london",healthcare,2016-08-30,1
"soon the wealthy will wipe clean every fun, tatty area – and not just in london",medicare,2016-08-30,1
"one nation rise could cost queensland $300m in foreign student slump, labor warns",cost,2016-08-30,1
companies are making money from our personal data – but at what cost?,cost,2016-08-31,2
"nurse forged doctor's signature to get £3,300 of botox prescriptions",prescription,2016-08-31,2
how a murdered woman became invisible in the coverage of her death,coverage,2016-09-01,1
"woman alleges hospital refused to remove her iud, citing catholic rules",preexisting,2016-09-01,2
how wall street's ceo bonus loophole cost the us government $1bn,cost,2016-09-02,2
the lies trump told this week: who's paying for the wall to immigration costs,cost,2016-09-02,2
the nhs: well-off pensioners should pay a social care insurance,healthcare,2016-09-03,1
the nhs: well-off pensioners should pay a social care insurance,medicare,2016-09-03,1
the nhs: well-off pensioners should pay a social care insurance,insurance,2016-09-03,1
obamacare 'on the cusp of falling apart' as insurers flee health exchanges,aca,2016-09-03,1
obamacare 'on the cusp of falling apart' as insurers flee health exchanges,healthcare,2016-09-03,1
how missouri's 'bosnian vote​' could cost donald trump – and turn the state blue,cost,2016-09-04,2
how missouri's 'bosnian vote​' could cost donald trump – and turn the state blue,affordable,2016-09-04,2
paralympics ready for lift-off amid cautious optimism of further progress,medicaid,2016-09-06,1
obama's hawaii marine conservation area is just a drop in the ocean,healthcare,2016-09-06,2
obama's hawaii marine conservation area is just a drop in the ocean,medicare,2016-09-06,2
"london fares, affordable homes and the conundrum of harrow-on-the-hill",affordable,2016-09-06,2
cost of moving mps out of parliament for repairs could exceed £4bn,cost,2016-09-08,2
"rhiannon, 14, cares for her dad. now cuts have made life even harder",healthcare,2016-09-08,3
"rhiannon, 14, cares for her dad. now cuts have made life even harder",medicare,2016-09-08,3
the pigeon tunnel by john le carré review – what made him write a memoir?,affordable,2016-09-08,2
australian medical association says parents risk harming children with cough medicines,medicare,2016-09-08,2
australian medical association says parents risk harming children with cough medicines,medicaid,2016-09-08,2
land for goodison park replacement could cost everton around £30m,cost,2016-09-09,2
barnaby joyce refuses to release cost-benefit analysis of moving agency to his electorate,cost,2016-09-11,1
rg3's recklessness may have cost him the last great chance of his career,cost,2016-09-12,2
"bbc climate coverage is evolving, but too slowly",coverage,2016-09-12,1
"brexit could cost poorest countries £320m a year, warn economists",cost,2016-09-12,2
10 of the world's best cable car rides,healthcare,2016-09-12,3
10 of the world's best cable car rides,medicare,2016-09-12,3
"why does resettling a refugee cost £17,000 in the us – but £85,000 in britain?",cost,2016-09-13,1
"everton donate £200,000 to aid five-year-old sunderland fan's cancer battle",medicaid,2016-09-13,2
immigration detention cost blowout blamed on procurement failures,cost,2016-09-13,1
we must legalise access to medical cannabis as a matter of urgency,medicare,2016-09-13,2
we must legalise access to medical cannabis as a matter of urgency,medicaid,2016-09-13,2
un calls on big pharma to reduce cost of life-saving medicines,cost,2016-09-14,2
gohenry pockets £4m for app that teaches kids money-management,pocket,2016-09-14,2
consumer groups urge change to lease laws after hidden costs target the poor,cost,2016-09-14,2
sadiq khan's planning incentives for more london affordable homes,affordable,2016-09-15,2
theresa may accused of avoiding security and cost issues of hinkley,cost,2016-09-15,2
could bad buildings damage your mental health?,healthcare,2016-09-16,1
letters: my prescription for the nhs is a new beveridge report… ,,,2
,prescription,2016-09-17,2
"leadership contest cost labour sheffield byelection, says tim farron",cost,2016-09-17,2
rugby championship: australia v argentina – as it happened,coverage,2016-09-17,2
lv= car insurance premiums to rise as profits plummet,healthcare,2016-09-19,3
lv= car insurance premiums to rise as profits plummet,medicare,2016-09-19,3
lv= car insurance premiums to rise as profits plummet,insurance,2016-09-19,3
"hard brexit will cost city of london its hub status, warns bundesbank boss",cost,2016-09-19,3
average uk car insurance bill rose by 13% over past year,coverage,2016-09-20,2
average uk car insurance bill rose by 13% over past year,healthcare,2016-09-20,2
average uk car insurance bill rose by 13% over past year,medicare,2016-09-20,2
average uk car insurance bill rose by 13% over past year,insurance,2016-09-20,2
"pro-brexit articles dominated newspaper referendum coverage, study shows",coverage,2016-09-20,2
the cost of the nhs is a matter of perspective,cost,2016-09-22,2
we can afford the nhs. the question is whether we are willing to pay for it,affordable,2016-09-22,2
liberal campaign director defends 'positive' election tactics and attacks medicare 'lie',medicare,2016-09-22,3
"may's schools plan would cost council taxpayers 'significantly', says lga",cost,2016-09-23,2
josé mourinho’s criticism of luke shaw was justified but at what cost?,cost,2016-09-23,2
uk officials cite 'heightened scrutiny' as cost of aid fraud breaks £1m barrier,cost,2016-09-23,1
uk officials cite 'heightened scrutiny' as cost of aid fraud breaks £1m barrier,medicaid,2016-09-23,1
how to avoid paying a premium for your car insurance,healthcare,2016-09-24,2
how to avoid paying a premium for your car insurance,medicare,2016-09-24,2
how to avoid paying a premium for your car insurance,insurance,2016-09-24,2
david moyes admits lack of summer recruitment could cost sunderland dear,cost,2016-09-25,1
atlético madrid v deportivo: la liga – as it happened,coverage,2016-09-25,2
che guevara era closes as latin america's  oldest guerrilla army calls it a day,coverage,2016-09-25,2
healthcare staff: tell us about the inappropriate demands on your time,healthcare,2016-09-27,2
the indonesian waste pickers trading trash for healthcare,healthcare,2016-09-28,1
"pay rates, insurance and superannuation: who's in charge of the gig economy?",insurance,2016-09-28,2
"brexit negotiations could cost taxpayer tens of millions of pounds, says report",cost,2016-09-29,2
want an affordable rented home? don't rely on a labour council,affordable,2016-09-30,2
northern territory to pay half of $50m cost of juvenile detention inquiry,cost,2016-09-30,2
"nightmare before christmas: siberia plans to cull 250,000 reindeer amid anthrax fears",medicaid,2016-09-30,1
roberto di matteo under increasing pressure after aston villa defeat,condition,2016-10-01,2
roberto di matteo under increasing pressure after aston villa defeat,medicare,2016-10-01,2
roberto di matteo under increasing pressure after aston villa defeat,medicaid,2016-10-01,2
shu han lee’s kitchen: ‘there was a time when the only thing i could do was boil water’,preexisting,2016-10-01,2
supreme folly: how much would it cost to build a cathedral using the £28 designer brick?,,,2
,cost,2016-10-02,2
"the last battle for brooklyn, america's most unaffordable place to buy a home",affordable,2016-10-03,2
join a club that can help drive down the cost of car ownership,cost,2016-10-03,2
join a club that can help drive down the cost of car ownership,healthcare,2016-10-03,2
join a club that can help drive down the cost of car ownership,medicare,2016-10-03,2
brighthouse admits affordability checks are hurting business model,affordable,2016-10-04,2
"banking inquiry: nobody fired for denying life insurance payouts, commonwealth boss says – as it happened",insurance,2016-10-04,1
seven in 10 nurses say young people's mental healthcare is inadequate,healthcare,2016-10-04,1
"stillbirths to cost australian economy $680m over next five years, report finds",cost,2016-10-05,2
dea reduces opioid production in us amid painkiller addiction epidemic,medicaid,2016-10-05,2
"healthcare in afghanistan: ‘doctors are threatened at gunpoint, even by civilians’",healthcare,2016-10-05,2
caruso st john win stirling prize for damien hirst's newport street gallery,preexisting,2016-10-06,2
caruso st john win stirling prize for damien hirst's newport street gallery,cost,2016-10-06,2
"hard brexit could cost scotland £2,000 a head and 80,000 jobs",cost,2016-10-06,2
greg jackson: 'writing a novel is like an interminable family vacation',aca,2016-10-06,2
nate parker criticizes rape case coverage: 'do they care about anyone involved?',coverage,2016-10-06,1
nate parker criticizes rape case coverage: 'do they care about anyone involved?',healthcare,2016-10-06,1
nate parker criticizes rape case coverage: 'do they care about anyone involved?',medicare,2016-10-06,1
british politics is in the pocket of big money. and the eu vote was no exception,pocket,2016-10-07,2
healthcare innovations won’t cure global health inequality – political action will,healthcare,2016-10-09,2
healthcare innovations won’t cure global health inequality – political action will,healthcare,2016-10-09,2
ufc 204: michael bisping v dan henderson – as it happened,coverage,2016-10-09,2
trump's attack on 'catastrophic' canadian healthcare system draws ire,healthcare,2016-10-10,1
doctors would all support obamacare if they saw the vast inequality that i do,aca,2016-10-10,2
pension tax changes 'may cost uk £5bn annually by 2035',cost,2016-10-11,2
"english care home closures are leaving vulnerable people at risk, says watchdog",healthcare,2016-10-11,2
"english care home closures are leaving vulnerable people at risk, says watchdog",medicare,2016-10-11,2
now it’s bernard matthews’ turn to leave pensioners out of pocket,pocket,2016-10-11,2
single women can't afford to live in the city and men can. is that fair?,affordable,2016-10-11,1
regulator finds 'significant shortcomings' in life insurance claims handling,insurance,2016-10-12,2
brexit adviser: leaving eu customs union will cost uk £25bn a year,cost,2016-10-12,2
how much will brexit cost britain?,cost,2016-10-13,2
"when you moan about the cost of a meal, think about who’s slaving in the kitchens",cost,2016-10-13,2
tesco price row: unilever cfo defends cost hike against brexit backdrop,cost,2016-10-13,2
talking horses: champions day news and updates from ascot,cost,2016-10-14,2
waleed aly: chasing viral content will cost media companies audience trust,cost,2016-10-14,2
kevin pietersen and michael vaughan join bt sport’s cricket coverage,coverage,2016-10-14,2
cancer council pushes for dead woman's medical records over rights to $12.6m estate,medicare,2016-10-14,1
cancer council pushes for dead woman's medical records over rights to $12.6m estate,medicaid,2016-10-14,1
controversial garden bridge to cost public total of £50m – even if it fails to go ahead,cost,2016-10-15,1
hundreds of uk lawyers register in ireland in brexit insurance move,insurance,2016-10-17,2
"karl ove knausgaard webchat – your questions answered on self-loathing, love and jürgen klopp",coverage,2016-10-17,2
"luggage lift installed at the lodge cost $83,000 before gst",cost,2016-10-17,2
bayer leverkusen v tottenham hotspur: champions league – live!,coverage,2016-10-18,2
did trolls cost twitter $3.5bn and its sale?,cost,2016-10-18,2
gary lineker hits back at online abuse over criticism of calais refugee coverage,coverage,2016-10-19,1
three bbc news channel presenters set to go in cost cuts,cost,2016-10-19,2
"housing affordability crisis not down to unsustainable rising prices, says morrison",affordable,2016-10-19,1
"housing affordability crisis not down to unsustainable rising prices, says morrison",preexisting,2016-10-19,1
‘like doctors in a war’: inside venezuela’s healthcare crisis,healthcare,2016-10-19,1
how virtual reality is changing the game in healthcare,healthcare,2016-10-19,2
"cutting medical device and prostheses costs should lower health premiums, says minister",medicare,2016-10-19,2
"cutting medical device and prostheses costs should lower health premiums, says minister",medicaid,2016-10-19,2
"cutting medical device and prostheses costs should lower health premiums, says minister",cost,2016-10-19,2
"cutting medical device and prostheses costs should lower health premiums, says minister",healthcare,2016-10-19,2
"refugee coverage, kelvin mackenzie, bake off's selasi",coverage,2016-10-20,2
nintendo switch: can the new console succeed where wii u failed?,insurance,2016-10-21,2
"houston, we've got a problem: trump could cost republicans texas, polls find",cost,2016-10-22,1
"30 years after big bang, will brexit cost city of london its status?",cost,2016-10-23,2
boldly tearing up and setting fire to the concept of irony,preexisting,2016-10-24,2
hydrogen entrepreneurs at the forefront of the clean car revolution,healthcare,2016-10-25,2
hydrogen entrepreneurs at the forefront of the clean car revolution,medicare,2016-10-25,2
wa must embrace dawn of renewable energy era or risk being left behind,coverage,2016-10-26,2
aa reports rise in car insurance premiums,healthcare,2016-10-26,2
aa reports rise in car insurance premiums,medicare,2016-10-26,2
aa reports rise in car insurance premiums,insurance,2016-10-26,2
obamacare price hikes show that now is the time to be bold,aca,2016-10-26,2
sussan ley rejects royal commission's call for medicare subsidy for family violence victims,medicare,2016-10-26,3
cost of british student housing has risen by a quarter in seven years,cost,2016-10-26,2
'fascination with sex': megyn kelly and newt gingrich clash on trump coverage,coverage,2016-10-26,3
obamacare made it illegal to deny care to the sick. insurance companies still do it,aca,2016-10-27,1
obamacare made it illegal to deny care to the sick. insurance companies still do it,healthcare,2016-10-27,1
obamacare made it illegal to deny care to the sick. insurance companies still do it,medicare,2016-10-27,1
obamacare made it illegal to deny care to the sick. insurance companies still do it,insurance,2016-10-27,1
"maternity leave sackings cost £280m a year, says equality watchdog",cost,2016-10-27,1
"nuisance phone call bosses face fines, plus a rise in car insurance premiums",healthcare,2016-10-27,2
"nuisance phone call bosses face fines, plus a rise in car insurance premiums",medicare,2016-10-27,2
"nuisance phone call bosses face fines, plus a rise in car insurance premiums",insurance,2016-10-27,2
11 health innovations to drastically cut maternal and child mortality rates,healthcare,2016-10-27,2
how do we make care personalisation cost-efficient?,healthcare,2016-10-27,3
how do we make care personalisation cost-efficient?,medicare,2016-10-27,3
how do we make care personalisation cost-efficient?,cost,2016-10-27,3
why does the life insurance industry go out of its way to punish the terminally ill?,insurance,2016-10-27,1
sadiq khan warns hard brexit will cost millions of jobs across uk,cost,2016-10-28,2
"yes, obamacare will be more expensive, but for millions the rise can be mitigated",aca,2016-10-28,3
golden goal: esteban cambiasso for argentina v serbia & montenegro (2006),coverage,2016-10-28,2
stan grant to spearhead abc's indigenous affairs coverage,coverage,2016-10-28,2
women who care for elderly parents need support,healthcare,2016-10-28,2
women who care for elderly parents need support,medicare,2016-10-28,2
"my cancer diary: ‘there’s a new drug, but the nhs won’t pay. private cost? £15,624 a month!’",cost,2016-10-29,1
"floating homes: a solution to flooding, crowded cities and unaffordable housing",affordable,2016-10-29,2
when the wrong postcode puts insurance out of your reach,insurance,2016-10-30,2
kia soul: car review,healthcare,2016-10-30,2
kia soul: car review,medicare,2016-10-30,2
"flowers, spray tan and limo hire – the cost of being a 16-year-old prom king",cost,2016-10-31,3
i took a prescription pill to get a lot of work done quickly. here's what happened,prescription,2016-10-31,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",healthcare,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",insurance,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",coverage,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",prescription,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",condition,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",medicare,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",pocket,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",cost,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",aca,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",medicaid,2016-11-01,1
"hinkley point c will not cost taxpayers extra, says edf energy boss",cost,2016-11-01,1
how much will the new £1 coin cost the uk?,cost,2016-11-01,2
republicans fear trump's parade of insults might help cost him the election,cost,2016-11-01,1
"one in four care home beds at risk without funding increase, providers say",healthcare,2016-11-01,2
"one in four care home beds at risk without funding increase, providers say",medicare,2016-11-01,2
"the future of healthcare: ai, augmented reality and drug-delivering drones",healthcare,2016-11-01,2
fc copenhagen v leicester city: champions league – as it happened,coverage,2016-11-02,2
"australian airlines taking travellers for a ride on insurance policies, says choice",insurance,2016-11-02,2
facebook forces admiral to pull plan to price car insurance based on posts,healthcare,2016-11-02,3
facebook forces admiral to pull plan to price car insurance based on posts,medicare,2016-11-02,3
facebook forces admiral to pull plan to price car insurance based on posts,insurance,2016-11-02,3
chilcot says blair went 'beyond the facts' in making case for iraq war - politics live,cost,2016-11-02,1
hillary clinton is the only choice for voters who care about women's health,healthcare,2016-11-02,1
hillary clinton is the only choice for voters who care about women's health,medicare,2016-11-02,1
hillary clinton is the only choice for voters who care about women's health,healthcare,2016-11-02,1
america’s road trip: will the us ever kick the car habit?,healthcare,2016-11-02,2
america’s road trip: will the us ever kick the car habit?,medicare,2016-11-02,2
social care threat level reaches new high,healthcare,2016-11-02,2
social care threat level reaches new high,medicare,2016-11-02,2
'just say death!' plays teach healthcare workers about end-of-life care,healthcare,2016-11-02,2
'just say death!' plays teach healthcare workers about end-of-life care,healthcare,2016-11-02,2
'just say death!' plays teach healthcare workers about end-of-life care,medicare,2016-11-02,2
clinton aide says fbi email query has had no impact – as it happened,medicaid,2016-11-02,2
the $100bn gold mine and the west papuans who say they are counting the cost,cost,2016-11-02,3
admiral to price car insurance based on facebook posts,healthcare,2016-11-02,2
admiral to price car insurance based on facebook posts,medicare,2016-11-02,2
admiral to price car insurance based on facebook posts,insurance,2016-11-02,2
prisoners  'should get same healthcare as general population',healthcare,2016-11-02,2
"social care services 'facing existential crisis', say council leaders",healthcare,2016-11-02,2
"social care services 'facing existential crisis', say council leaders",medicare,2016-11-02,2
when can big data fulfill its promise to improve healthcare?,healthcare,2016-11-03,2
'whoever wins the us election needs to address the rage out there': the view from middletown,coverage,2016-11-03,1
rsa insurance gets profits boost from pound's slide,insurance,2016-11-03,2
ai weiwei to west: tackle china on human rights whatever the cost,medicaid,2016-11-03,2
ai weiwei to west: tackle china on human rights whatever the cost,cost,2016-11-03,2
we've abandoned gender equality and child welfare in the name of cost-cutting,cost,2016-11-04,1
shunt these useless train ticket insurance policies into the sidings,insurance,2016-11-05,1
the big issue: from the arts to the economy – the tangible cost of ballots,cost,2016-11-06,2
nicholas stern: cost of global warming ‘is worse than i feared’,cost,2016-11-06,2
a design-led property boom could help solve australia's housing affordability crisis,affordable,2016-11-07,2
seaworld announces cost-cutting strategy after 33% decline in profits,cost,2016-11-08,1
cost of british grocery brands to rise due to fall in value of sterling,cost,2016-11-08,2
press feeding frenzy over harry and meghan has echoes of diana coverage,coverage,2016-11-08,2
the costs and benefits of being a single mother and running for congress,cost,2016-11-08,3
affordable homes in chelsea sutton estate may be saved,affordable,2016-11-08,2
