headlines,terms,dates,scores
guardian tops poll of national papers for coronavirus coverage,coverage,2020-04-28,2
"uk coronavirus: death toll in hospitals, care homes and community at 26,097 – as it happened",healthcare,2020-04-29,1
"uk coronavirus: death toll in hospitals, care homes and community at 26,097 – as it happened",medicare,2020-04-29,1
rental affordability snapshot proves australia's coronavirus welfare payments should stay,affordable,2020-04-29,3
rental affordability could be hit if welfare payments returned to pre-covid level,affordable,2020-04-29,2
uk covid-19 business bailouts have already cost more than £100bn,cost,2020-04-30,1
'i feel completely lost': families tell of covid-19 care home deaths,healthcare,2020-04-30,1
'i feel completely lost': families tell of covid-19 care home deaths,medicare,2020-04-30,1
fossil fuel firms linked to trump get millions in coronavirus small business aid,medicaid,2020-05-01,3
financial watchdog asks courts to clarify coronavirus business insurance,insurance,2020-05-01,2
coronavirus has elon musk acting like just another used car salesman,healthcare,2020-05-01,2
coronavirus has elon musk acting like just another used car salesman,medicare,2020-05-01,2
the pandemic has made the us healthcare crisis far more dire. we must fix the system,healthcare,2020-05-02,2
the glass hotel by emily st john mandel review – haunted visions of a global crisis,preexisting,2020-05-02,1
the glass hotel by emily st john mandel review – haunted visions of a global crisis,cost,2020-05-02,1
non-nhs healthcare staff had less access to covid-19 tests – study,healthcare,2020-05-03,2
calls grow to scrap nhs surcharge for migrant healthcare workers,healthcare,2020-05-03,2
hundreds of uk firms join forces to sue hiscox over lockdown insurance,insurance,2020-05-03,2
"morning mail: the cost of covid-19, no evidence virus grew in a lab, sewing dissent",cost,2020-05-04,2
australia's coronavirus lockdown to cost $4bn a week in reduced economic activity – treasurer,cost,2020-05-04,2
the well gardened mind by sue stuart-smith; the natural health service by isabel hardman – review,healthcare,2020-05-04,3
‘it’s being built on our blood’: the true cost of saudi arabia’s $500bn megacity,cost,2020-05-04,1
cruise companies accused of refusing to let stranded crew disembark due to cost,cost,2020-05-05,2
"virgin atlantic to cut 3,150 jobs; uk car sales tumble - as it happened",healthcare,2020-05-05,1
"virgin atlantic to cut 3,150 jobs; uk car sales tumble - as it happened",medicare,2020-05-05,1
16th resident dies at sydney aged care home – as it happened,coverage,2020-05-05,1
16th resident dies at sydney aged care home – as it happened,healthcare,2020-05-05,1
16th resident dies at sydney aged care home – as it happened,medicare,2020-05-05,1
'we pray for this bad time to end': the steep cost of lockdown in south africa,cost,2020-05-06,1
‘stop throwing us bare bones’: us union activism surges amid coronavirus,medicaid,2020-05-06,2
can i get health cover if i have to rebook my cancelled holiday?,healthcare,2020-05-06,2
can i get health cover if i have to rebook my cancelled holiday?,coverage,2020-05-06,2
labour urges extended eviction ban amid risk of huge job losses,medicaid,2020-05-08,1
expansion debate rumbles on amid hush over britain’s biggest airports,medicaid,2020-05-09,2
counting the human cost of covid-19: 'numbers tell a story words can't',cost,2020-05-09,2
"mortgage holidays: a break is tempting, but it will cost you",cost,2020-05-09,2
"up to 43m americans could lose health insurance amid pandemic, report says",healthcare,2020-05-10,1
"up to 43m americans could lose health insurance amid pandemic, report says",insurance,2020-05-10,1
"up to 43m americans could lose health insurance amid pandemic, report says",medicaid,2020-05-10,1
"not now, bernard ... i'm on my iphone: classic children's text reissued for digital era",coverage,2020-05-10,1
trial by media: a troubling netflix series on press coverage of the courtroom,medicare,2020-05-11,1
trial by media: a troubling netflix series on press coverage of the courtroom,medicaid,2020-05-11,1
trial by media: a troubling netflix series on press coverage of the courtroom,coverage,2020-05-11,1
"once again, care work has been exposed as the nhs's poor relation",healthcare,2020-05-11,1
"once again, care work has been exposed as the nhs's poor relation",medicare,2020-05-11,1
'it will cost lives': experts decry uk government's mixed covid-19 messaging,cost,2020-05-11,2
healthcare firm advised by owen paterson won £133m coronavirus testing contract unopposed,healthcare,2020-05-11,3
"parents, grandparents, boxers, singers: the care home residents who have died from covid-19",healthcare,2020-05-12,1
"parents, grandparents, boxers, singers: the care home residents who have died from covid-19",medicare,2020-05-12,1
pregnant healthcare worker sues nhs agency over employment rights,healthcare,2020-05-13,2
watchdog oversees $160m in payouts from australian banks that sold junk insurance,insurance,2020-05-13,2
coronavirus tests brought to australia by andrew forrest at $200m cost to taxpayers not being used,cost,2020-05-13,1
"no insurance, no savings, no support: what happens when la's least privileged get covid",insurance,2020-05-14,1
nigel clough resigns as burton manager in cost-cutting move,cost,2020-05-18,2
anti-adani coalmine activists target insurance broker with virtual protest,insurance,2020-05-18,2
"world health assembly: what is it, and what is the coronavirus inquiry proposal?",healthcare,2020-05-18,2
strikes erupt as us essential workers demand protection amid pandemic,medicaid,2020-05-19,2
what we wear now: instagram live styling session,preexisting,2020-05-19,1
silly billy: what the ikea bookcase tells us about the true cost of fast furniture,cost,2020-05-19,2
australian deputy cmo says no medical reason for state border closures – as it happened,medicare,2020-05-20,2
australian deputy cmo says no medical reason for state border closures – as it happened,medicaid,2020-05-20,2
jobkeeper to cost $60bn less than originally forecast due to 'reporting error',cost,2020-05-22,1
'inundated and overwhelmed': black undertakers struggle amid pandemic,medicaid,2020-05-22,2
lockdown laptops: affordable options for those stuck at home,affordable,2020-05-23,2
morrison says support measures are only temporary 'medication' for sick economy,medicaid,2020-05-25,1
"corona rage is boiling over. to ease tensions, masks should be mandatory",coverage,2020-05-25,1
health minister greg hunt announces additional $20m for mental health funding – as it happened,healthcare,2020-05-25,2
health minister greg hunt announces additional $20m for mental health funding – as it happened,healthcare,2020-05-25,2
"david bowie, adele and beyoncé: bbc unveils glastonbury coverage",coverage,2020-05-26,2
chinese state tv broke ofcom rules with biased hong kong coverage,coverage,2020-05-26,1
sally daghlian: 'some migrants are too scared to seek healthcare',healthcare,2020-05-26,2
help us document the us healthcare workers who die fighting coronavirus,healthcare,2020-05-27,2
'thousands are in jeopardy': freelance theatre-makers count cost of crisis,cost,2020-05-27,2
how south africa’s action on covid-19 contrasts sharply with its response to aids,medicaid,2020-05-27,3
pandemic cover is life or death for our hotel but our insurance won’t pay,coverage,2020-05-27,2
pandemic cover is life or death for our hotel but our insurance won’t pay,insurance,2020-05-27,2
why we shouldn't be calling our healthcare workers 'heroes',healthcare,2020-05-27,1
transfer trauma: america's seniors suffer as care system pushes them between sites,healthcare,2020-05-28,2
transfer trauma: america's seniors suffer as care system pushes them between sites,medicare,2020-05-28,2
cyprus offers to cover cost of holidays affected by coronavirus,coverage,2020-05-29,2
cyprus offers to cover cost of holidays affected by coronavirus,cost,2020-05-29,2
matt hancock's obsession with hospitals has warped priorities and cost lives,cost,2020-05-29,3
"renault to cut 14,600 jobs as part of €2bn cost-saving plan",cost,2020-05-29,2
"how much would it cost to make free childcare permanent, and would it be a good idea?",cost,2020-05-30,2
'forgotten' on-course bookmakers left counting cost of lockdown,cost,2020-05-31,1
energy firms urged to mothball coal plants as cost of solar tumbles,cost,2020-06-02,2
'it's an exciting beginning': venice opens to tourists,preexisting,2020-06-03,3
fewer than four in 10 cover face on uk public transport – guardian survey,coverage,2020-06-04,2
"sunny coverage of uk heatwaves forgets risks, say climate experts",coverage,2020-06-04,1
tim dowling: reopen the world if you want to - i’m staying home,preexisting,2020-06-06,2
"uk failure to lock down earlier cost many lives, top scientist says",cost,2020-06-07,1
health experts on the psychological cost of covid-19,healthcare,2020-06-07,2
health experts on the psychological cost of covid-19,cost,2020-06-07,2
britons with life-threatening conditions denied care during pandemic,condition,2020-06-08,3
britons with life-threatening conditions denied care during pandemic,healthcare,2020-06-08,3
britons with life-threatening conditions denied care during pandemic,medicare,2020-06-08,3
nigeria to cut healthcare spending by 40% despite coronavirus cases climbing,healthcare,2020-06-10,2
george floyd memorial: al sharpton condemns trump's 'wickedness in high places' – as it happened,healthcare,2020-06-10,2
english care bosses say lack of resources cost thousands of lives,healthcare,2020-06-11,1
english care bosses say lack of resources cost thousands of lives,medicare,2020-06-11,1
english care bosses say lack of resources cost thousands of lives,cost,2020-06-11,1
insouciance and mismanagement of covid-19 has cost so many lives in the uk,cost,2020-06-11,2
